ticker,company_name,year
ABB,Abbott India Ltd,2019
ADANIENSOL,Adani Energy Solutions Ltd,2020
ADANIENT,Adani Enterprises Ltd,2021
ADANIGREEN,Adani Green Energy Ltd,2022
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2025
ADANIPOWER,Adani Power Ltd,2026
AMBUJACEM,Ambuja Cements Ltd,2021
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2021
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2021
ATGL,Adani Total Gas Ltd,2021
AXISBANK,Axis Bank Ltd,2021
BAJAJ-AUTO,Bajaj Auto Ltd,2021
BAJAJFINSV,Bajaj Finserv Ltd,2021
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2021
BAJFINANCE,Bajaj Finance Ltd,2021
BANKBARODA,Bank of Baroda,2021
BEL,Bharat Electronics Ltd,2021
BHARTIARTL,Bharti Airtel Ltd,2021
BHEL,"Bharat Heavy Electricals Limited
",2021
BOSCHLTD,Bosch Ltd,2021
BPCL,Bharat Petroleum Corporation Ltd,2021
BRITANNIA,Britannia Industries Ltd,2021
CANBK,Canara Bank,2021
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2021
CIPLA,"Cipla Ltd
",2021
COALINDIA,Coal India Ltd,2021
DABUR,Dabur India Ltd,2021
DIVISLAB,Divis Laboratories Ltd,2021
DLF,DLF Ltd,2021
DMART,Avenue Supermarts Ltd,2021
DRREDDY,Dr Reddys Laboratories Ltd,2021
EICHERMOT,Eicher Motors Ltd,2021
GAIL,GAIL (India) Ltd,2021
GODREJCP,Godrej Consumer Products Ltd,2021
GRASIM,Grasim Industries Ltd,2021
HAL,Hindustan Aeronautics Ltd,2021
HAVELLS,Havells India Ltd,2021
HCLTECH,HCL Technologies Ltd,2021
HDFCBANK,HDFC Bank Ltd,2021
HDFCLIFE,HDFC Life Insurance Company Ltd,2021
HEROMOTOCO,"Hero MotoCorp Ltd
",2021
HINDALCO,Hindalco Industries Ltd,2021
HINDUNILVR,"Hindustan Unilever Ltd
",2021
ICICIBANK,ICICI Bank Ltd,2021
ICICIGI,ICICI Lombard General Insurance Company Ltd,2021
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,2021
INDIGO,Interglobe Aviation Ltd,2021
INDUSINDBK,IndusInd Bank Ltd,2021
INFY,Infosys Ltd,2021
IOC,"Indian Oil Corporation
",2021
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2021
IRFC,Indian Railway Finance Corporation Ltd,2021
ITC,"ITC Ltd
",2021
JINDALSTEL,Jindal Steel & Power Ltd,2021
JIOFIN,Jio Financial Services Ltd,2021
JSWENERGY,JSW Energy Ltd,2021
JSWSTEEL,JSW Steel Ltd,2021
KOTAKBANK,"Kotak Mahindra Bank Ltd
",2021
LICI,Life Insurance Corporation of India,2021
LODHA,Macrotech Developers Ltd,2021
LT,Larsen & Toubro Ltd,2021
LTIM,LTIMindtree Ltd,2021
M&M,"Mahindra & Mahindra Ltd
",2021
MARUTI,Maruti Suzuki India Ltd,2021
MOTHERSON,Samvardhana Motherson International Ltd,2021
NAUKRI,Info Edge (India) Ltd,2021
NESTLEIND,Nestle India Ltd,2021
NHPC,"NHPC Ltd
",2021
NTPC,NTPC Ltd,2021
ONGC,Oil & Natural Gas Corpn Ltd,2021
PFC,Power Finance Corporation Ltd,2021
PIDILITIND,Pidilite Industries Ltd,2021
PNB,Punjab National Bank,2021
POWERGRID,Power Grid Corporation of India Ltd,2021
RECLTD,REC Ltd,2021
RELIANCE,"Reliance Industries Ltd
",2021
SBILIFE,SBI Life Insurance Company Ltd,2021
SBIN,State Bank of India,2021
SHREECEM,Shree Cement Ltd,2021
SHRIRAMFIN,"Shriram Finance Ltd
",2021
SIEMENS,Siemens Ltd,2021
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,2021
TATACONSUM,Tata Consumer Products Ltd,2021
TATAMOTORS,Tata Motors Ltd,2021
TATAPOWER,"Tata Power Company Ltd
",2021
TATASTEEL,"Tata Steel Ltd
",2021
TCS,Tata Consultancy Services Ltd,2021
TECHM,Tech Mahindra Ltd,2021
TITAN,"Titan Company Ltd
",2021
TORNTPHARM,Torrent Pharmaceuticals Ltd,2021
TRENT,Trent Ltd,2021
TVSMOTOR,TVS Motor Company Ltd,2021
